Gene,IR_039,IR_046,PD_016,IR_031,PD_021,IR_047,IR_002,PD_028,IR_050,IR_016,IR_019,PD_025,IR_027,PD_029,IR_020,HR_056,HR_063,PD_001,HR_048,PD_006,HR_064,HR_019,PD_013,HR_067,HR_033,HR_036,PD_010,HR_044,PD_014,HR_037
SEC24B-AS1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
A1BG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,1120,1173,211,789,8278,851,749,398,129,893,330,3699,524,7451,725,820,0,806,568,3692,272,620,387,0,831,185,2505,763,0,1288
A2ML1,476,309,484,97,126,250,56,148,222,481,64,42,41,6,110,0,899,0,85,0,882,102,0,0,171,57,0,237,0,646
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,35,0,0,0,0,0,0,104,0,24,0,32,509,0,0,0,0,22,0,0,96,0,0,0,0,0,0,0,323
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,43,25,153,0,135,0,0,36,13,0,4,93,3,0,8,24,0,81,12,0,0,96,0,0,1,0,0,0,0,62
AACS,77,936,1319,5,965,2199,432,332,112,1244,78,339,121,2231,418,73,0,1727,224,0,0,934,0,0,159,416,0,0,0,427
AADAC,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
