"hgnc_symbol","ensembl_gene_id","entrezgene_id","description","gene_biotype","transcript_length"
"TSPAN6","ENSG00000000003",7105,"tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]","protein_coding",3796
"TNMD","ENSG00000000005",64102,"tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]","protein_coding",1205
"DPM1","ENSG00000000419",8813,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]","protein_coding",3004
"SCYL3","ENSG00000000457",57147,"SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]","protein_coding",6308
"FIRRM","ENSG00000000460",55732,"FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]","protein_coding",4355
"FGR","ENSG00000000938",2268,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]","protein_coding",2637
"CFH","ENSG00000000971",3075,"complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]","protein_coding",6985
"FUCA2","ENSG00000001036",2519,"alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]","protein_coding",2385
"GCLC","ENSG00000001084",2729,"glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]","protein_coding",3785
"NFYA","ENSG00000001167",4800,"nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]","protein_coding",6209
"STPG1","ENSG00000001460",90529,"sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","protein_coding",6016
"NIPAL3","ENSG00000001461",57185,"NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]","protein_coding",9240
"LAS1L","ENSG00000001497",81887,"LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","protein_coding",7570
"ENPP4","ENSG00000001561",22875,"ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]","protein_coding",4644
"SEMA3F","ENSG00000001617",6405,"semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]","protein_coding",3607
"CFTR","ENSG00000001626",1080,"CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]","protein_coding",6223
"ANKIB1","ENSG00000001629",54467,"ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]","protein_coding",6340
"CYP51A1","ENSG00000001630",1595,"cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]","protein_coding",3155
"KRIT1","ENSG00000001631",889,"KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]","protein_coding",6688
"RAD52","ENSG00000002016",5893,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]","protein_coding",3023
"BAD","ENSG00000002330",572,"BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]","protein_coding",1157
"LAP3","ENSG00000002549",51056,"leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]","protein_coding",2209
"CD99","ENSG00000002586",4267,"CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]","protein_coding",1278
"HS3ST1","ENSG00000002587",9957,"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]","protein_coding",7160
"AOC1","ENSG00000002726",26,"amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]","protein_coding",3135
"WNT16","ENSG00000002745",51384,"Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]","protein_coding",3150
"HECW1","ENSG00000002746",23072,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]","protein_coding",9453
"MAD1L1","ENSG00000002822",8379,"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","protein_coding",2991
"LASP1","ENSG00000002834",3927,"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]","protein_coding",4023
"SNX11","ENSG00000002919",29916,"sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]","protein_coding",2992
"TMEM176A","ENSG00000002933",55365,"transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]","protein_coding",2065
"M6PR","ENSG00000003056",4074,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]","protein_coding",2450
"KLHL13","ENSG00000003096",90293,"kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]","protein_coding",5331
"CYP26B1","ENSG00000003137",56603,"cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]","protein_coding",4556
"ICA1","ENSG00000003147",3382,"islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]","protein_coding",2440
"DBNDD1","ENSG00000003249",79007,"dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]","protein_coding",2889
"ALS2","ENSG00000003393",57679,"alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]","protein_coding",9251
