"hgnc_symbol","entrezgene_id","description","gene_biotype"
"A1BG",1,"alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]","protein_coding"
"A1CF",29974,"APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]","protein_coding"
"A2M",2,"alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]","protein_coding"
"A2ML1",144568,"alpha-2-macroglobulin like 1 [Source:HGNC Symbol;Acc:HGNC:23336]","protein_coding"
"A2MP1",NA,"alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]","transcribed_unprocessed_pseudogene"
"A4GALT",53947,"alpha 1,4-galactosyltransferase (P1PK blood group) [Source:HGNC Symbol;Acc:HGNC:18149]","protein_coding"
"A4GNT",51146,"alpha-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:17968]","protein_coding"
"AAAS",8086,"aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]","protein_coding"
"AACS",65985,"acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","protein_coding"
"AADAC",13,"arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]","protein_coding"
"AADACL2",344752,"arylacetamide deacetylase like 2 [Source:HGNC Symbol;Acc:HGNC:24427]","protein_coding"
"AADACL3",126767,"arylacetamide deacetylase like 3 [Source:HGNC Symbol;Acc:HGNC:32037]","protein_coding"
"AADACL4",343066,"arylacetamide deacetylase like 4 [Source:HGNC Symbol;Acc:HGNC:32038]","protein_coding"
"AADAT",51166,"aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]","protein_coding"
"AAGAB",79719,"alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662]","protein_coding"
"AAK1",22848,"AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]","protein_coding"
"AAMDC",28971,"adipogenesis associated Mth938 domain containing [Source:HGNC Symbol;Acc:HGNC:30205]","protein_coding"
"AAMP",14,"angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]","protein_coding"
"AANAT",15,"aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]","protein_coding"
"AAR2",25980,"AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]","protein_coding"
"AARD",441376,"alanine and arginine rich domain containing protein [Source:HGNC Symbol;Acc:HGNC:33842]","protein_coding"
"AARS2",57505,"alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]","protein_coding"
"AASDH",132949,"aminoadipate-semialdehyde dehydrogenase [Source:HGNC Symbol;Acc:HGNC:23993]","protein_coding"
