,Gene,Gene ID,Gene Length
0,SEC24B-AS1,ENSG00000247950,88439
1,A1BG,ENSG00000121410,8315
2,A1CF,ENSG00000148584,86267
3,GGACT,ENSG00000134864,59365
4,A2M,ENSG00000175899,48566
5,A2ML1,ENSG00000166535,64381
6,A2MP1,ENSG00000256069,46442
7,A2MP1,ENSG00000291190,5675
8,A4GALT,ENSG00000128274,29178
9,A4GNT,ENSG00000118017,8678
10,AAAS,ENSG00000094914,17409
11,AACS,ENSG00000081760,77900
12,AADAC,ENSG00000114771,14416
13,AADACL2,ENSG00000197953,27424
14,AADACL3,ENSG00000188984,12651
15,AADACL4,ENSG00000204518,22992
16,AADAT,ENSG00000109576,31478
17,AAGAB,ENSG00000103591,54529
18,AAK1,ENSG00000115977,216353
19,AAMP,ENSG00000127837,6050
20,AANAT,ENSG00000129673,16767
21,AARS2,ENSG00000124608,14617
22,PTGES3L-AARSD1,ENSG00000108825,30003
23,AASDH,ENSG00000157426,49222
24,AASDHPPT,ENSG00000149313,23199
25,AASS,ENSG00000008311,79726
26,AATF,ENSG00000275700,107947
27,AATK,ENSG00000181409,55735
28,ABAT,ENSG00000183044,109980
29,ABCA1,ENSG00000165029,147150
30,ABCA10,ENSG00000154263,97633
31,ABCA12,ENSG00000144452,207085
32,ABCA13,ENSG00000179869,476040
33,ABCA17P,ENSG00000238098,64542
34,ABCA17P,ENSG00000293423,87591
35,ABCA2,ENSG00000107331,21682
36,ABCA3,ENSG00000167972,64866
37,ABCA4,ENSG00000198691,128315
38,ABCA5,ENSG00000154265,82934
39,ABCA6,ENSG00000154262,63194
40,ABCA7,ENSG00000064687,25576
41,ABCA8,ENSG00000141338,88104
42,ABCA9,ENSG00000154258,86462
43,ABCB1,ENSG00000085563,210307
44,ABCB10,ENSG00000135776,42126
45,ABCB11,ENSG00000073734,115827
46,ABCB4,ENSG00000005471,78740
47,ABCB5,ENSG00000004846,161372
48,ABCB6,ENSG00000115657,9223
49,ABCB7,ENSG00000131269,105685
50,ABCB8,ENSG00000197150,19361
51,ABCB9,ENSG00000150967,60699
52,ABCC1,ENSG00000103222,194120
53,ABCC10,ENSG00000124574,23065
54,ABCC11,ENSG00000121270,81796
55,ABCC12,ENSG00000140798,75137
56,ABCC2,ENSG00000023839,69955
57,ABCC3,ENSG00000108846,57477
58,ABCC4,ENSG00000125257,281641
59,ABCC5,ENSG00000114770,98006
60,ABCC6,ENSG00000091262,73958
61,ABCC8,ENSG00000006071,84397
62,ABCC9,ENSG00000069431,145155
63,ABCD1,ENSG00000101986,19900
64,ABCD2,ENSG00000173208,69771
65,ABCD3,ENSG00000117528,100278
66,ABCD4,ENSG00000119688,17787
67,ABCE1,ENSG00000164163,31237
68,ABCF1,ENSG00000204574,25787
69,ABCF2,ENSG00000033050,15722
70,ABCF3,ENSG00000161204,7918
71,ABCG1,ENSG00000160179,104701
72,ABCG2,ENSG00000118777,141479
73,ABCG4,ENSG00000172350,13602
74,ABCG5,ENSG00000138075,26394
75,ABCG8,ENSG00000143921,51047
76,ABHD1,ENSG00000143994,7024
77,ABHD10,ENSG00000144827,14359
78,ABHD11,ENSG00000106077,2759
79,ABHD12,ENSG00000100997,96094
80,ABHD12B,ENSG00000131969,32918
81,ABHD13,ENSG00000139826,15852
82,ABHD14A,ENSG00000248487,9771
83,ABHD14B,ENSG00000114779,14900
84,ABHD15,ENSG00000168792,6491
85,ABHD16A,ENSG00000204427,16402
86,ABHD16B,ENSG00000183260,1491
87,ABHD2,ENSG00000140526,114897
88,ABHD3,ENSG00000158201,53880
89,ABHD4,ENSG00000100439,14674
90,ABHD5,ENSG00000011198,44264
91,ABHD6,ENSG00000163686,58162
92,ABHD8,ENSG00000127220,18106
93,ABI1,ENSG00000136754,114495
94,ABI2,ENSG00000138443,119449
95,ABI3,ENSG00000108798,12815
96,ABI3BP,ENSG00000154175,244360
97,ABL1,ENSG00000097007,174633
98,ABL2,ENSG00000143322,130355
99,ABLIM1,ENSG00000099204,336952
100,ABLIM2,ENSG00000163995,193523
101,ABLIM3,ENSG00000173210,119060
102,ABO,ENSG00000175164,42747
103,ABR,ENSG00000159842,226220
104,ABRA,ENSG00000174429,10762
105,ABT1,ENSG00000146109,3787
106,ABTB1,ENSG00000114626,7992
107,ABTB2,ENSG00000166016,207024
108,ACAA1,ENSG00000060971,34114
109,ACAA2,ENSG00000167315,31790
110,ACACA,ENSG00000278540,321845
111,ACACB,ENSG00000076555,151640
112,ACAD10,ENSG00000111271,71055
113,ACAD8,ENSG00000151498,12308
114,ACAD9,ENSG00000177646,44408
115,ACADL,ENSG00000115361,38322
116,ACADM,ENSG00000117054,63145
117,ACADS,ENSG00000122971,14235
118,ACADSB,ENSG00000196177,49312
119,ACADVL,ENSG00000072778,8142
120,ACAN,ENSG00000157766,71918
121,ACAP1,ENSG00000072818,14949
122,ACAP2,ENSG00000114331,168300
123,ACAP3,ENSG00000131584,17220
124,ACAT1,ENSG00000075239,32263
125,ACAT2,ENSG00000120437,17068
126,ACBD3,ENSG00000182827,42063
127,ACBD4,ENSG00000181513,11582
128,ACBD5,ENSG00000107897,74912
129,ACBD6,ENSG00000230124,233302
130,ACBD7,ENSG00000176244,13302
131,ASIC2,ENSG00000108684,1161878
132,ASIC1,ENSG00000110881,26064
133,ASIC3,ENSG00000213199,4465
134,ASIC5,ENSG00000256394,36549
135,ACCS,ENSG00000110455,18313
136,ACCSL,ENSG00000205126,11997
137,ACD,ENSG00000102977,3299
138,ACE,ENSG00000159640,21320
139,ACE2,ENSG00000130234,112671
140,ACER1,ENSG00000167769,27471
141,ACER2,ENSG00000177076,43497
142,ACER3,ENSG00000078124,165939
143,ACHE,ENSG00000087085,6981
144,ACIN1,ENSG00000100813,37051
145,ACLY,ENSG00000131473,63626
146,ACMSD,ENSG00000153086,63419
147,ACO1,ENSG00000122729,70167
148,ACO2,ENSG00000100412,81444
149,ACOT11,ENSG00000162390,96936
150,ACOT12,ENSG00000172497,64184
151,ACOT13,ENSG00000112304,38031
152,ACOT2,ENSG00000119673,8039
153,ACOT4,ENSG00000177465,3894
154,ACOT6,ENSG00000205669,8944
155,ACOT7,ENSG00000097021,129499
156,ACOT8,ENSG00000101473,15685
157,ACOT9,ENSG00000123130,65421
158,ACOX1,ENSG00000161533,37671
159,ACOX2,ENSG00000168306,32148
160,ACOX3,ENSG00000087008,74442
161,ACOXL,ENSG00000153093,386010
162,ACP1,ENSG00000143727,14144
163,ACP2,ENSG00000134575,9605
164,ACP5,ENSG00000102575,5341
165,ACP6,ENSG00000162836,40873
166,ACR,ENSG00000100312,7144
167,ACRBP,ENSG00000111644,9359
168,ACRV1,ENSG00000134940,9353
169,ACSBG1,ENSG00000103740,78221
170,ACSBG2,ENSG00000130377,57848
171,ACSF2,ENSG00000167107,48688
172,ACSF3,ENSG00000176715,75747
173,ACSL1,ENSG00000151726,71224
174,ACSL3,ENSG00000123983,83698
175,ACSL4,ENSG00000068366,109160
176,ACSL5,ENSG00000197142,54264
177,ACSL6,ENSG00000164398,62271
178,ACSM1,ENSG00000166743,75656
179,ACSM2A,ENSG00000183747,36209
180,ACSM2B,ENSG00000066813,40202
181,ACSM3,ENSG00000005187,187339
182,ACSM4,ENSG00000215009,24648
183,ACSM5,ENSG00000183549,31803
184,ACSS2,ENSG00000131069,55817
185,ACSS3,ENSG00000111058,324797
186,ACTA1,ENSG00000143632,3740
187,ACTA2,ENSG00000107796,56518
188,ACTB,ENSG00000075624,37494
189,ACTBL2,ENSG00000169067,2794
190,ACTC1,ENSG00000159251,5483
191,ACTG1,ENSG00000184009,14435
192,ACTG2,ENSG00000163017,27552
193,ACTL10,ENSG00000288649,1583
194,ACTL6A,ENSG00000136518,25522
195,ACTL6B,ENSG00000077080,13352
196,ACTL7A,ENSG00000187003,1491
197,ACTL7B,ENSG00000148156,1399
198,ACTL8,ENSG00000117148,71731
199,ACTL9,ENSG00000181786,1396
200,ACTN1,ENSG00000072110,105318
201,ACTN2,ENSG00000077522,100491
202,ACTN3,ENSG00000248746,16940
203,ACTN4,ENSG00000130402,83941
204,ACTR10,ENSG00000131966,35557
205,ACTR1A,ENSG00000138107,40832
206,ACTR1B,ENSG00000115073,8106
207,ACTR2,ENSG00000138071,43466
208,ACTR3,ENSG00000115091,72534
209,ACTR3B,ENSG00000133627,95630
210,ACTR3BP2,ENSG00000226481,1373
211,ACTR3C,ENSG00000106526,79810
212,ACTR5,ENSG00000101442,24061
213,ACTR6,ENSG00000075089,42744
214,ACTR8,ENSG00000113812,15087
215,ACTRT1,ENSG00000123165,1442
216,ACTRT2,ENSG00000169717,1437
217,ACVR1,ENSG00000115170,140080
218,ACVR1B,ENSG00000135503,45380
219,ACVR1C,ENSG00000123612,102098
220,ACVR2A,ENSG00000121989,86310
221,ACVR2B,ENSG00000114739,39253
222,ACVRL1,ENSG00000139567,16454
223,ACY1,ENSG00000243989,5858
224,ACY3,ENSG00000132744,8176
225,ACYP1,ENSG00000119640,16247
226,ACYP2,ENSG00000170634,334463
227,ADA,ENSG00000196839,67357
228,ADAD1,ENSG00000164113,50837
229,ADAD2,ENSG00000140955,6031
230,ADAL,ENSG00000168803,23898
231,ADAM1A,ENSG00000229186,2129
232,ADAM10,ENSG00000137845,160983
233,ADAM11,ENSG00000073670,22859
234,ADAM12,ENSG00000148848,376097
235,ADAM15,ENSG00000143537,12210
236,ADAM17,ENSG00000151694,68247
237,ADAM18,ENSG00000168619,145577
238,ADAM19,ENSG00000135074,180242
239,ADAM2,ENSG00000104755,94493
240,ADAM20,ENSG00000134007,12658
241,ADAM21,ENSG00000139985,43321
242,ADAM21P1,ENSG00000235812,2170
243,ADAM21P1,ENSG00000293335,2049
244,ADAM22,ENSG00000008277,268747
245,ADAM23,ENSG00000114948,177596
246,ADAM28,ENSG00000042980,64946
247,ADAM29,ENSG00000168594,148513
248,ADAM30,ENSG00000134249,2983
249,ADAM32,ENSG00000197140,177928
250,ADAM33,ENSG00000149451,14282
251,ADAM6,ENSG00000271968,999
252,ADAM6,ENSG00000290844,2541
253,ADAM7,ENSG00000069206,86041
254,ADAM8,ENSG00000151651,14449
255,ADAM9,ENSG00000168615,108692
256,ADAMDEC1,ENSG00000134028,21729
257,ADAMTS1,ENSG00000154734,9655
258,ADAMTS10,ENSG00000142303,30496
259,ADAMTS12,ENSG00000151388,368485
260,ADAMTS13,ENSG00000160323,45045
261,ADAMTS14,ENSG00000138316,89936
262,ADAMTS15,ENSG00000166106,28001
263,ADAMTS16,ENSG00000145536,179975
264,ADAMTS17,ENSG00000140470,370569
265,ADAMTS18,ENSG00000140873,187222
266,ADAMTS19,ENSG00000145808,278403
267,ADAMTS2,ENSG00000087116,234609
268,ADAMTS20,ENSG00000173157,198338
269,ADAMTS3,ENSG00000156140,288253
270,ADAMTS4,ENSG00000158859,14753
271,ADAMTS5,ENSG00000154736,49167
